[23:07:38] [Server thread/INFO]: Starting minecraft server version 1.7.10
[23:07:38] [Server thread/INFO]: Loading properties
[23:07:38] [Server thread/INFO]: Default game type: CREATIVE
[23:07:38] [Server thread/INFO]: Generating keypair
[23:07:38] [Server thread/INFO]: Starting Minecraft server on *:25569
[23:07:38] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:07:38] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:07:38] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:07:38] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:07:38] [Server thread/INFO]: Preparing level "world"
[23:07:38] [Server thread/INFO]: Preparing start region for level 0
[23:07:39] [Server thread/WARN]: Skipping Piece with id TCVillageBanker
[23:07:39] [Server thread/WARN]: Skipping Piece with id witchery:Apothecary
[23:07:39] [Server thread/WARN]: Skipping Piece with id eplus:ArcaneLibrary
[23:07:39] [Server thread/WARN]: Skipping Piece with id TCVillageBanker
[23:07:39] [Server thread/WARN]: Skipping Piece with id Trainstation
[23:07:39] [Server thread/WARN]: Skipping Piece with id TCVillageTower
[23:07:39] [Server thread/WARN]: Skipping Piece with id eplus:ArcaneLibrary
[23:07:39] [Server thread/WARN]: Skipping Piece with id grc.tavern
[23:07:39] [Server thread/WARN]: Skipping Piece with id grc.grapevineyard
[23:07:39] [Server thread/WARN]: Skipping Piece with id grc.hopvineyard
[23:07:39] [Server thread/WARN]: Skipping Piece with id TCVillageBanker
[23:07:39] [Server thread/WARN]: Skipping Piece with id witchery:Apothecary
[23:07:39] [Server thread/WARN]: Skipping Piece with id witchery:bookshop
[23:07:39] [Server thread/WARN]: Skipping Piece with id grc.hopvineyard
[23:07:39] [Server thread/WARN]: Skipping Piece with id TCVillageTower
[23:07:39] [Server thread/WARN]: Skipping Piece with id Trainstation
[23:07:39] [Server thread/WARN]: Skipping Piece with id eplus:ArcaneLibrary
[23:07:39] [Server thread/WARN]: Skipping Piece with id witchery:witchhut
[23:07:39] [Server thread/WARN]: Skipping Piece with id grc.tavern
